"revision","mode","cohorts","threads","interval","median_ms_per_1024_frames","min_ms","max_ms","checksum"
"after","mono","4096","16","64","1.551600","1.383900","1.827400","30728.550722"
"after","mono","4096","16","256","1.018000","0.965600","1.279700","30728.550722"
"after","mono","4096","16","1024","0.908500","0.897900","1.093200","30728.550722"
"after","stereo","4096","16","1","31.206300","31.072800","33.317700","2922.716741"
"after","stereo","4096","16","9","5.470500","5.040900","6.189100","2922.717411"
"after","stereo","4096","16","64","1.846800","1.734900","2.253200","2922.717411"
"after","stereo","4096","16","256","1.283200","1.269400","1.563000","2922.717411"
"after","stereo","4096","16","1024","1.216700","1.191800","1.380600","2922.717411"
"after","analytic","4096","16","1","38.219000","38.100700","40.575900","101.261286"
"after","analytic","4096","16","9","10.038600","9.446300","10.523500","101.261153"
"after","analytic","4096","16","64","4.737200","4.606700","5.159600","101.261153"
"after","analytic","4096","16","256","4.464600","4.200900","4.679500","101.261153"
"after","analytic","4096","16","1024","4.276200","3.805300","4.570100","101.261153"
